timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531862062304,49,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,779,0,1,12,48,0,0
1531862062353,76,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,767,0,1,12,76,0,0
1531862062430,181,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,767,0,2,14,181,0,0
1531862062612,194,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,775,0,2,14,194,0,0
1531862062807,68,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,761,0,2,14,67,0,0
1531862062538,375,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,756,0,1,13,375,0,0
1531862062914,76,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,765,0,1,13,51,0,0
1531862061325,1716,Preview,200,OK,QA Previewing Test 3-1,text,true,,8337,0,1,13,1711,0,0
1531862062990,52,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,771,0,1,13,51,0,0
1531862063043,88,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,765,0,1,13,78,0,0
1531862063132,89,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,755,0,1,13,89,0,0
1531862063222,55,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,763,0,1,13,55,0,0
1531862063277,64,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,753,0,1,13,52,0,0
1531862063342,70,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,765,0,1,13,69,0,0
1531862062089,1377,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1197,0,1,13,1377,0,0
1531862063413,65,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,775,0,1,13,65,0,0
1531862063467,76,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,9818,0,1,13,71,0,0
1531862063479,72,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-10,text,true,,771,0,1,13,72,0,0
1531862063546,781,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1229,0,1,12,781,0,0
1531862064328,105,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,20889,0,1,12,87,0,0
1531862063042,1858,Preview,200,OK,QA Previewing Test 3-1,text,true,,3092,0,1,12,1858,0,0
1531862064901,266,Preview,200,OK,QA Previewing Test 3-1,text,true,,23778,0,1,12,261,0,0
1531862065170,159,Preview,200,OK,QA Previewing Test 3-1,text,true,,17018,0,1,12,149,0,0
1531862064434,967,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1207,0,1,12,967,0,0
1531862065401,90,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,17148,0,1,12,74,0,0
1531862065493,1693,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1195,0,1,12,1691,0,0
1531862065332,1868,Preview,200,OK,QA Previewing Test 3-1,text,true,,2513,0,1,12,1866,0,0
1531862067187,88,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,16588,0,1,12,78,0,0
1531862067201,503,Preview,200,OK,QA Previewing Test 3-1,text,true,,4704,0,1,12,501,0,0
